"","tip_names_in_data_matrix","kingdom","phylum","subphylum","class","subclass","infraclass","cohort","order","suborder","infraorder","superfamily","family","subfamily","genus","species","metamorphosis","gs_value","gs_sd","gs_cv","best_method","n_records"
"92","Diptera_Drosophila_cardini","Metazoa","Arthropoda","Hexapoda","Insecta","Pterygota","Neoptera","Endopterygota","Diptera","Brachycera","Muscomorpha","Ephydroidea","Drosophilidae","Drosophilinae","Drosophila","Drosophila cardini","Complete",214.1,2.26274169979694,0.0105686207370245,NA,2
"93","Diptera_Drosophila_diplacantha","Metazoa","Arthropoda","Hexapoda","Insecta","Pterygota","Neoptera","Endopterygota","Diptera","Brachycera","Muscomorpha","Ephydroidea","Drosophilidae","Drosophilinae","Drosophila","Drosophila diplacantha","Complete",224.94,NA,NA,"FCM",1
"94","Diptera_Drosophila_dunni","Metazoa","Arthropoda","Hexapoda","Insecta","Pterygota","Neoptera","Endopterygota","Diptera","Brachycera","Muscomorpha","Ephydroidea","Drosophilidae","Drosophilinae","Drosophila","Drosophila dunni","Complete",286.55,0.636396103067877,0.00222089025673661,NA,2
"95","Diptera_Drosophila_elegans","Metazoa","Arthropoda","Hexapoda","Insecta","Pterygota","Neoptera","Endopterygota","Diptera","Brachycera","Muscomorpha","Ephydroidea","Drosophilidae","Drosophilinae","Drosophila","Drosophila elegans","Complete",195.6,NA,NA,"FCM",1
"96","Diptera_Drosophila_equinoxialis","Metazoa","Arthropoda","Hexapoda","Insecta","Pterygota","Neoptera","Endopterygota","Diptera","Brachycera","Muscomorpha","Ephydroidea","Drosophilidae","Drosophilinae","Drosophila","Drosophila equinoxialis","Complete",273.84,41.4930259200266,0.151522881682832,"FCM",2
"97","Diptera_Drosophila_ercepeae","Metazoa","Arthropoda","Hexapoda","Insecta","Pterygota","Neoptera","Endopterygota","Diptera","Brachycera","Muscomorpha","Ephydroidea","Drosophilidae","Drosophilinae","Drosophila","Drosophila ercepeae","Complete",215.16,NA,NA,"FCM",1
"98","Diptera_Drosophila_erecta","Metazoa","Arthropoda","Hexapoda","Insecta","Pterygota","Neoptera","Endopterygota","Diptera","Brachycera","Muscomorpha","Ephydroidea","Drosophilidae","Drosophilinae","Drosophila","Drosophila erecta","Complete",146.7,9.78,0.0666666666666667,"FCM",3
"99","Diptera_Drosophila_eugracilis","Metazoa","Arthropoda","Hexapoda","Insecta","Pterygota","Neoptera","Endopterygota","Diptera","Brachycera","Muscomorpha","Ephydroidea","Drosophilidae","Drosophilinae","Drosophila","Drosophila eugracilis","Complete",224.94,NA,NA,"FCM",1
"100","Diptera_Drosophila_ficusphila","Metazoa","Arthropoda","Hexapoda","Insecta","Pterygota","Neoptera","Endopterygota","Diptera","Brachycera","Muscomorpha","Ephydroidea","Drosophilidae","Drosophilinae","Drosophila","Drosophila ficusphila","Complete",185.82,NA,NA,"FCM",1
"101","Diptera_Drosophila_funebris","Metazoa","Arthropoda","Hexapoda","Insecta","Pterygota","Neoptera","Endopterygota","Diptera","Brachycera","Muscomorpha","Ephydroidea","Drosophilidae","Drosophilinae","Drosophila","Drosophila funebris","Complete",332.52,NA,NA,"FCM",1
"102","Diptera_Drosophila_fuyamai","Metazoa","Arthropoda","Hexapoda","Insecta","Pterygota","Neoptera","Endopterygota","Diptera","Brachycera","Muscomorpha","Ephydroidea","Drosophilidae","Drosophilinae","Drosophila","Drosophila fuyamai","Complete",264.06,NA,NA,"FCM",1
"103","Diptera_Drosophila_greeni","Metazoa","Arthropoda","Hexapoda","Insecta","Pterygota","Neoptera","Endopterygota","Diptera","Brachycera","Muscomorpha","Ephydroidea","Drosophilidae","Drosophilinae","Drosophila","Drosophila greeni","Complete",195.6,NA,NA,"FCM",1
"104","Diptera_Drosophila_grimshawi","Metazoa","Arthropoda","Hexapoda","Insecta","Pterygota","Neoptera","Endopterygota","Diptera","Brachycera","Muscomorpha","Ephydroidea","Drosophilidae","Drosophilinae","Drosophila","Drosophila grimshawi","Complete",239.61,6.91550432000444,0.0288615012729203,"FCM",2
"105","Diptera_Drosophila_guttifera","Metazoa","Arthropoda","Hexapoda","Insecta","Pterygota","Neoptera","Endopterygota","Diptera","Brachycera","Muscomorpha","Ephydroidea","Drosophilidae","Drosophilinae","Drosophila","Drosophila guttifera","Complete",156.48,NA,NA,"FCM",1
"106","Diptera_Drosophila_hawaiiensis","Metazoa","Arthropoda","Hexapoda","Insecta","Pterygota","Neoptera","Endopterygota","Diptera","Brachycera","Muscomorpha","Ephydroidea","Drosophilidae","Drosophilinae","Drosophila","Drosophila hawaiiensis","Complete",254.28,NA,NA,"FCM",1
"107","Diptera_Drosophila_heteroneura","Metazoa","Arthropoda","Hexapoda","Insecta","Pterygota","Neoptera","Endopterygota","Diptera","Brachycera","Muscomorpha","Ephydroidea","Drosophilidae","Drosophilinae","Drosophila","Drosophila heteroneura","Complete",205.38,NA,NA,"FCM",1
"108","Diptera_Drosophila_hydei","Metazoa","Arthropoda","Hexapoda","Insecta","Pterygota","Neoptera","Endopterygota","Diptera","Brachycera","Muscomorpha","Ephydroidea","Drosophilidae","Drosophilinae","Drosophila","Drosophila hydei","Complete",185.82,27.6620172800177,0.148864585512957,"FCM",2
"109","Diptera_Drosophila_immigrans","Metazoa","Arthropoda","Hexapoda","Insecta","Pterygota","Neoptera","Endopterygota","Diptera","Brachycera","Muscomorpha","Ephydroidea","Drosophilidae","Drosophilinae","Drosophila","Drosophila immigrans","Complete",303.18,NA,NA,"FCM",1
"110","Diptera_Drosophila_jambulina","Metazoa","Arthropoda","Hexapoda","Insecta","Pterygota","Neoptera","Endopterygota","Diptera","Brachycera","Muscomorpha","Ephydroidea","Drosophilidae","Drosophilinae","Drosophila","Drosophila jambulina","Complete",205.38,NA,NA,"FCM",1
"111","Diptera_Drosophila_kanapiae","Metazoa","Arthropoda","Hexapoda","Insecta","Pterygota","Neoptera","Endopterygota","Diptera","Brachycera","Muscomorpha","Ephydroidea","Drosophilidae","Drosophilinae","Drosophila","Drosophila kanapiae","Complete",166.26,NA,NA,"FCM",1
"112","Diptera_Drosophila_kepulauana","Metazoa","Arthropoda","Hexapoda","Insecta","Pterygota","Neoptera","Endopterygota","Diptera","Brachycera","Muscomorpha","Ephydroidea","Drosophilidae","Drosophilinae","Drosophila","Drosophila kepulauana","Complete",230.95,8.98025612106917,0.0388839840704445,NA,2
"113","Diptera_Drosophila_kikkawai","Metazoa","Arthropoda","Hexapoda","Insecta","Pterygota","Neoptera","Endopterygota","Diptera","Brachycera","Muscomorpha","Ephydroidea","Drosophilidae","Drosophilinae","Drosophila","Drosophila kikkawai","Complete",205.38,NA,NA,"FCM",1
"114","Diptera_Drosophila_koepferae","Metazoa","Arthropoda","Hexapoda","Insecta","Pterygota","Neoptera","Endopterygota","Diptera","Brachycera","Muscomorpha","Ephydroidea","Drosophilidae","Drosophilinae","Drosophila","Drosophila koepferae","Complete",176.04,NA,NA,"FCM",1
"115","Diptera_Drosophila_kohkoa","Metazoa","Arthropoda","Hexapoda","Insecta","Pterygota","Neoptera","Endopterygota","Diptera","Brachycera","Muscomorpha","Ephydroidea","Drosophilidae","Drosophilinae","Drosophila","Drosophila kohkoa","Complete",263.75,11.5258405333407,0.0436998693207231,NA,2
"116","Diptera_Drosophila_lacertosa","Metazoa","Arthropoda","Hexapoda","Insecta","Pterygota","Neoptera","Endopterygota","Diptera","Brachycera","Muscomorpha","Ephydroidea","Drosophilidae","Drosophilinae","Drosophila","Drosophila lacertosa","Complete",300.55,3.60624458405141,0.011998817448183,NA,2
"117","Diptera_Drosophila_lacteicornis","Metazoa","Arthropoda","Hexapoda","Insecta","Pterygota","Neoptera","Endopterygota","Diptera","Brachycera","Muscomorpha","Ephydroidea","Drosophilidae","Drosophilinae","Drosophila","Drosophila lacteicornis","Complete",244.5,NA,NA,"FCM",1
"118","Diptera_Drosophila_littoralis","Metazoa","Arthropoda","Hexapoda","Insecta","Pterygota","Neoptera","Endopterygota","Diptera","Brachycera","Muscomorpha","Ephydroidea","Drosophilidae","Drosophilinae","Drosophila","Drosophila littoralis","Complete",234.72,NA,NA,"FCM",1
"119","Diptera_Drosophila_lummei","Metazoa","Arthropoda","Hexapoda","Insecta","Pterygota","Neoptera","Endopterygota","Diptera","Brachycera","Muscomorpha","Ephydroidea","Drosophilidae","Drosophilinae","Drosophila","Drosophila lummei","Complete",310.6,2.96984848098349,0.00956164997097067,NA,2
"120","Diptera_Drosophila_malerkotliana","Metazoa","Arthropoda","Hexapoda","Insecta","Pterygota","Neoptera","Endopterygota","Diptera","Brachycera","Muscomorpha","Ephydroidea","Drosophilidae","Drosophilinae","Drosophila","Drosophila malerkotliana","Complete",195.6,0,0,"FCM",2
"121","Diptera_Drosophila_mauritiana","Metazoa","Arthropoda","Hexapoda","Insecta","Pterygota","Neoptera","Endopterygota","Diptera","Brachycera","Muscomorpha","Ephydroidea","Drosophilidae","Drosophilinae","Drosophila","Drosophila mauritiana","Complete",146.7,0,0,"FCM",2
"122","Diptera_Drosophila_mayri","Metazoa","Arthropoda","Hexapoda","Insecta","Pterygota","Neoptera","Endopterygota","Diptera","Brachycera","Muscomorpha","Ephydroidea","Drosophilidae","Drosophilinae","Drosophila","Drosophila mayri","Complete",254.28,NA,NA,"FCM",1
"123","Diptera_Drosophila_melanica","Metazoa","Arthropoda","Hexapoda","Insecta","Pterygota","Neoptera","Endopterygota","Diptera","Brachycera","Muscomorpha","Ephydroidea","Drosophilidae","Drosophilinae","Drosophila","Drosophila melanica","Complete",175.6,0.424264068711924,0.00241608239585378,NA,2
"124","Diptera_Drosophila_melanogaster","Metazoa","Arthropoda","Hexapoda","Insecta","Pterygota","Neoptera","Endopterygota","Diptera","Brachycera","Muscomorpha","Ephydroidea","Drosophilidae","Drosophilinae","Drosophila","Drosophila melanogaster","Complete",173.245714285714,16.6684080994985,0.0962125277858779,"FCM",7
"125","Diptera_Drosophila_micromelanica","Metazoa","Arthropoda","Hexapoda","Insecta","Pterygota","Neoptera","Endopterygota","Diptera","Brachycera","Muscomorpha","Ephydroidea","Drosophilidae","Drosophilinae","Drosophila","Drosophila micromelanica","Complete",206.75,0.494974746830575,0.00239407374525067,NA,2
"126","Diptera_Drosophila_miranda","Metazoa","Arthropoda","Hexapoda","Insecta","Pterygota","Neoptera","Endopterygota","Diptera","Brachycera","Muscomorpha","Ephydroidea","Drosophilidae","Drosophilinae","Drosophila","Drosophila miranda","Complete",176.04,NA,NA,"FCM",1
"127","Diptera_Drosophila_mojavensis","Metazoa","Arthropoda","Hexapoda","Insecta","Pterygota","Neoptera","Endopterygota","Diptera","Brachycera","Muscomorpha","Ephydroidea","Drosophilidae","Drosophilinae","Drosophila","Drosophila mojavensis","Complete",161.37,6.91550432000444,0.0428549564355483,"FCM",2
"128","Diptera_Drosophila_montana","Metazoa","Arthropoda","Hexapoda","Insecta","Pterygota","Neoptera","Endopterygota","Diptera","Brachycera","Muscomorpha","Ephydroidea","Drosophilidae","Drosophilinae","Drosophila","Drosophila montana","Complete",241.7,1.55563491861042,0.00643622225324955,NA,2
"129","Diptera_Drosophila_nannoptera","Metazoa","Arthropoda","Hexapoda","Insecta","Pterygota","Neoptera","Endopterygota","Diptera","Brachycera","Muscomorpha","Ephydroidea","Drosophilidae","Drosophilinae","Drosophila","Drosophila nannoptera","Complete",234.72,NA,NA,"FCM",1
"130","Diptera_Drosophila_nasuta","Metazoa","Arthropoda","Hexapoda","Insecta","Pterygota","Neoptera","Endopterygota","Diptera","Brachycera","Muscomorpha","Ephydroidea","Drosophilidae","Drosophilinae","Drosophila","Drosophila nasuta","Complete",244.05,2.33345237791559,0.00956137012053102,NA,2
"131","Diptera_Drosophila_navojoa","Metazoa","Arthropoda","Hexapoda","Insecta","Pterygota","Neoptera","Endopterygota","Diptera","Brachycera","Muscomorpha","Ephydroidea","Drosophilidae","Drosophilinae","Drosophila","Drosophila navojoa","Complete",163.1,9.75807358037436,0.0598287773168263,NA,2
"132","Diptera_Drosophila_nebulosa","Metazoa","Arthropoda","Hexapoda","Insecta","Pterygota","Neoptera","Endopterygota","Diptera","Brachycera","Muscomorpha","Ephydroidea","Drosophilidae","Drosophilinae","Drosophila","Drosophila nebulosa","Complete",185.82,NA,NA,"FCM",1
"133","Diptera_Drosophila_neocordata","Metazoa","Arthropoda","Hexapoda","Insecta","Pterygota","Neoptera","Endopterygota","Diptera","Brachycera","Muscomorpha","Ephydroidea","Drosophilidae","Drosophilinae","Drosophila","Drosophila neocordata","Complete",215.16,NA,NA,"FCM",1
"134","Diptera_Drosophila_novamexicana","Metazoa","Arthropoda","Hexapoda","Insecta","Pterygota","Neoptera","Endopterygota","Diptera","Brachycera","Muscomorpha","Ephydroidea","Drosophilidae","Drosophilinae","Drosophila","Drosophila novamexicana","Complete",244.5,NA,NA,"FCM",1
"135","Diptera_Drosophila_orena","Metazoa","Arthropoda","Hexapoda","Insecta","Pterygota","Neoptera","Endopterygota","Diptera","Brachycera","Muscomorpha","Ephydroidea","Drosophilidae","Drosophilinae","Drosophila","Drosophila orena","Complete",268.95,6.91550432000442,0.0257129738613289,"FCM",2
"136","Diptera_Drosophila_orosa","Metazoa","Arthropoda","Hexapoda","Insecta","Pterygota","Neoptera","Endopterygota","Diptera","Brachycera","Muscomorpha","Ephydroidea","Drosophilidae","Drosophilinae","Drosophila","Drosophila orosa","Complete",215.16,NA,NA,"FCM",1
"137","Diptera_Drosophila_pachea","Metazoa","Arthropoda","Hexapoda","Insecta","Pterygota","Neoptera","Endopterygota","Diptera","Brachycera","Muscomorpha","Ephydroidea","Drosophilidae","Drosophilinae","Drosophila","Drosophila pachea","Complete",162.4,19.9404112294606,0.122785783432639,NA,2
"138","Diptera_Drosophila_parabipectinata","Metazoa","Arthropoda","Hexapoda","Insecta","Pterygota","Neoptera","Endopterygota","Diptera","Brachycera","Muscomorpha","Ephydroidea","Drosophilidae","Drosophilinae","Drosophila","Drosophila parabipectinata","Complete",205.38,NA,NA,"FCM",1
"139","Diptera_Drosophila_paulistorum","Metazoa","Arthropoda","Hexapoda","Insecta","Pterygota","Neoptera","Endopterygota","Diptera","Brachycera","Muscomorpha","Ephydroidea","Drosophilidae","Drosophilinae","Drosophila","Drosophila paulistorum","Complete",234.72,NA,NA,"FCM",1
"140","Diptera_Drosophila_pectinifera","Metazoa","Arthropoda","Hexapoda","Insecta","Pterygota","Neoptera","Endopterygota","Diptera","Brachycera","Muscomorpha","Ephydroidea","Drosophilidae","Drosophilinae","Drosophila","Drosophila pectinifera","Complete",293.4,NA,NA,"FCM",1
"141","Diptera_Drosophila_persimilis","Metazoa","Arthropoda","Hexapoda","Insecta","Pterygota","Neoptera","Endopterygota","Diptera","Brachycera","Muscomorpha","Ephydroidea","Drosophilidae","Drosophilinae","Drosophila","Drosophila persimilis","Complete",180.93,6.91550432000444,0.0382219881722458,"FCM",2
"142","Diptera_Drosophila_phalerata","Metazoa","Arthropoda","Hexapoda","Insecta","Pterygota","Neoptera","Endopterygota","Diptera","Brachycera","Muscomorpha","Ephydroidea","Drosophilidae","Drosophilinae","Drosophila","Drosophila phalerata","Complete",236.8,4.94974746830583,0.0209026497816969,NA,2
"143","Diptera_Drosophila_pseudoananassae","Metazoa","Arthropoda","Hexapoda","Insecta","Pterygota","Neoptera","Endopterygota","Diptera","Brachycera","Muscomorpha","Ephydroidea","Drosophilidae","Drosophilinae","Drosophila","Drosophila pseudoananassae","Complete",224.94,NA,NA,"FCM",1
"144","Diptera_Drosophila_pseudoobscura","Metazoa","Arthropoda","Hexapoda","Insecta","Pterygota","Neoptera","Endopterygota","Diptera","Brachycera","Muscomorpha","Ephydroidea","Drosophilidae","Drosophilinae","Drosophila","Drosophila pseudoobscura","Complete",159.74,24.6124602589826,0.154078253781036,"FCM",3
"145","Diptera_Drosophila_pseudotakahashii","Metazoa","Arthropoda","Hexapoda","Insecta","Pterygota","Neoptera","Endopterygota","Diptera","Brachycera","Muscomorpha","Ephydroidea","Drosophilidae","Drosophilinae","Drosophila","Drosophila pseudotakahashii","Complete",205.38,NA,NA,"FCM",1
"146","Diptera_Drosophila_punjabiensis","Metazoa","Arthropoda","Hexapoda","Insecta","Pterygota","Neoptera","Endopterygota","Diptera","Brachycera","Muscomorpha","Ephydroidea","Drosophilidae","Drosophilinae","Drosophila","Drosophila punjabiensis","Complete",205.38,NA,NA,"FCM",1
"147","Diptera_Drosophila_repleta","Metazoa","Arthropoda","Hexapoda","Insecta","Pterygota","Neoptera","Endopterygota","Diptera","Brachycera","Muscomorpha","Ephydroidea","Drosophilidae","Drosophilinae","Drosophila","Drosophila repleta","Complete",166.26,NA,NA,"FCM",1
"148","Diptera_Drosophila_robusta","Metazoa","Arthropoda","Hexapoda","Insecta","Pterygota","Neoptera","Endopterygota","Diptera","Brachycera","Muscomorpha","Ephydroidea","Drosophilidae","Drosophilinae","Drosophila","Drosophila robusta","Complete",245.6,5.65685424949238,0.0230327941754576,NA,2
"149","Diptera_Drosophila_rubida","Metazoa","Arthropoda","Hexapoda","Insecta","Pterygota","Neoptera","Endopterygota","Diptera","Brachycera","Muscomorpha","Ephydroidea","Drosophilidae","Drosophilinae","Drosophila","Drosophila rubida","Complete",216.05,3.74766594028869,0.0173462899342221,NA,2
"150","Diptera_Drosophila_rufa","Metazoa","Arthropoda","Hexapoda","Insecta","Pterygota","Neoptera","Endopterygota","Diptera","Brachycera","Muscomorpha","Ephydroidea","Drosophilidae","Drosophilinae","Drosophila","Drosophila rufa","Complete",254.28,NA,NA,"FCM",1
"151","Diptera_Drosophila_santomea","Metazoa","Arthropoda","Hexapoda","Insecta","Pterygota","Neoptera","Endopterygota","Diptera","Brachycera","Muscomorpha","Ephydroidea","Drosophilidae","Drosophilinae","Drosophila","Drosophila santomea","Complete",166.26,13.8310086400089,0.0831890330807703,"FCM",2
"152","Diptera_Drosophila_sechellia","Metazoa","Arthropoda","Hexapoda","Insecta","Pterygota","Neoptera","Endopterygota","Diptera","Brachycera","Muscomorpha","Ephydroidea","Drosophilidae","Drosophilinae","Drosophila","Drosophila sechellia","Complete",166.26,0,0,"FCM",3
"153","Diptera_Drosophila_seguyi","Metazoa","Arthropoda","Hexapoda","Insecta","Pterygota","Neoptera","Endopterygota","Diptera","Brachycera","Muscomorpha","Ephydroidea","Drosophilidae","Drosophilinae","Drosophila","Drosophila seguyi","Complete",215.16,NA,NA,"FCM",1
"154","Diptera_Drosophila_serrata","Metazoa","Arthropoda","Hexapoda","Insecta","Pterygota","Neoptera","Endopterygota","Diptera","Brachycera","Muscomorpha","Ephydroidea","Drosophilidae","Drosophilinae","Drosophila","Drosophila serrata","Complete",205.38,NA,NA,"FCM",1
"155","Diptera_Drosophila_silvestris","Metazoa","Arthropoda","Hexapoda","Insecta","Pterygota","Neoptera","Endopterygota","Diptera","Brachycera","Muscomorpha","Ephydroidea","Drosophilidae","Drosophilinae","Drosophila","Drosophila silvestris","Complete",185.82,NA,NA,"FCM",1
"156","Diptera_Drosophila_simulans","Metazoa","Arthropoda","Hexapoda","Insecta","Pterygota","Neoptera","Endopterygota","Diptera","Brachycera","Muscomorpha","Ephydroidea","Drosophilidae","Drosophilinae","Drosophila","Drosophila simulans","Complete",146.7,6.91550432000444,0.0471404520791032,"FCM",5
"157","Diptera_Drosophila_subobscura","Metazoa","Arthropoda","Hexapoda","Insecta","Pterygota","Neoptera","Endopterygota","Diptera","Brachycera","Muscomorpha","Ephydroidea","Drosophilidae","Drosophilinae","Drosophila","Drosophila subobscura","Complete",146.7,NA,NA,"FCM",1
"158","Diptera_Drosophila_sucinea","Metazoa","Arthropoda","Hexapoda","Insecta","Pterygota","Neoptera","Endopterygota","Diptera","Brachycera","Muscomorpha","Ephydroidea","Drosophilidae","Drosophilinae","Drosophila","Drosophila sucinea","Complete",205.38,NA,NA,"FCM",1
"159","Diptera_Drosophila_suzukii","Metazoa","Arthropoda","Hexapoda","Insecta","Pterygota","Neoptera","Endopterygota","Diptera","Brachycera","Muscomorpha","Ephydroidea","Drosophilidae","Drosophilinae","Drosophila","Drosophila suzukii","Complete",327.63,20.7465129600133,0.0633229953301387,"FCM",2
"160","Diptera_Drosophila_takahashii","Metazoa","Arthropoda","Hexapoda","Insecta","Pterygota","Neoptera","Endopterygota","Diptera","Brachycera","Muscomorpha","Ephydroidea","Drosophilidae","Drosophilinae","Drosophila","Drosophila takahashii","Complete",195.6,NA,NA,"FCM",1
"161","Diptera_Drosophila_tani","Metazoa","Arthropoda","Hexapoda","Insecta","Pterygota","Neoptera","Endopterygota","Diptera","Brachycera","Muscomorpha","Ephydroidea","Drosophilidae","Drosophilinae","Drosophila","Drosophila tani","Complete",195.6,NA,NA,"FCM",1
"162","Diptera_Drosophila_teissieri","Metazoa","Arthropoda","Hexapoda","Insecta","Pterygota","Neoptera","Endopterygota","Diptera","Brachycera","Muscomorpha","Ephydroidea","Drosophilidae","Drosophilinae","Drosophila","Drosophila teissieri","Complete",151.59,6.91550432000444,0.045619792334616,"FCM",2
"163","Diptera_Drosophila_triauraria","Metazoa","Arthropoda","Hexapoda","Insecta","Pterygota","Neoptera","Endopterygota","Diptera","Brachycera","Muscomorpha","Ephydroidea","Drosophilidae","Drosophilinae","Drosophila","Drosophila triauraria","Complete",244.5,NA,NA,"FCM",1
"164","Diptera_Drosophila_tsacasi","Metazoa","Arthropoda","Hexapoda","Insecta","Pterygota","Neoptera","Endopterygota","Diptera","Brachycera","Muscomorpha","Ephydroidea","Drosophilidae","Drosophilinae","Drosophila","Drosophila tsacasi","Complete",215.16,NA,NA,"FCM",1
"165","Diptera_Drosophila_varians","Metazoa","Arthropoda","Hexapoda","Insecta","Pterygota","Neoptera","Endopterygota","Diptera","Brachycera","Muscomorpha","Ephydroidea","Drosophilidae","Drosophilinae","Drosophila","Drosophila varians","Complete",156.48,NA,NA,"FCM",1
"166","Diptera_Drosophila_virilis","Metazoa","Arthropoda","Hexapoda","Insecta","Pterygota","Neoptera","Endopterygota","Diptera","Brachycera","Muscomorpha","Ephydroidea","Drosophilidae","Drosophilinae","Drosophila","Drosophila virilis","Complete",366.75,48.4085302400311,0.131993265821489,"FCM",2
"167","Diptera_Drosophila_vulcana","Metazoa","Arthropoda","Hexapoda","Insecta","Pterygota","Neoptera","Endopterygota","Diptera","Brachycera","Muscomorpha","Ephydroidea","Drosophilidae","Drosophilinae","Drosophila","Drosophila vulcana","Complete",224.94,NA,NA,"FCM",1
"168","Diptera_Drosophila_willistoni","Metazoa","Arthropoda","Hexapoda","Insecta","Pterygota","Neoptera","Endopterygota","Diptera","Brachycera","Muscomorpha","Ephydroidea","Drosophilidae","Drosophilinae","Drosophila","Drosophila willistoni","Complete",205.38,NA,NA,"FCM",1
"169","Diptera_Episyrphus_balteatus","Metazoa","Arthropoda","Hexapoda","Insecta","Pterygota","Neoptera","Endopterygota","Diptera","Brachycera","Muscomorpha","Syrphoidea","Syrphidae","Syrphinae","Episyrphus","Episyrphus balteatus","Complete",528.12,NA,NA,"FCM",1
"170","Diptera_Glossina_fuscipes","Metazoa","Arthropoda","Hexapoda","Insecta","Pterygota","Neoptera","Endopterygota","Diptera","Brachycera","Muscomorpha","Hippoboscoidea","Glossinidae","no_rank","Glossina","Glossina fuscipes","Complete",489,NA,NA,"FCM",1
"171","Diptera_Glossina_morsitans","Metazoa","Arthropoda","Hexapoda","Insecta","Pterygota","Neoptera","Endopterygota","Diptera","Brachycera","Muscomorpha","Hippoboscoidea","Glossinidae","no_rank","Glossina","Glossina morsitans","Complete",528.12,NA,NA,"FCM",1
"172","Diptera_Glossina_pallidipes","Metazoa","Arthropoda","Hexapoda","Insecta","Pterygota","Neoptera","Endopterygota","Diptera","Brachycera","Muscomorpha","Hippoboscoidea","Glossinidae","no_rank","Glossina","Glossina pallidipes","Complete",459.66,NA,NA,"FCM",1
"173","Diptera_Glossina_palpalis","Metazoa","Arthropoda","Hexapoda","Insecta","Pterygota","Neoptera","Endopterygota","Diptera","Brachycera","Muscomorpha","Hippoboscoidea","Glossinidae","no_rank","Glossina","Glossina palpalis","Complete",430.32,NA,NA,"FCM",1
"174","Diptera_Haematobia_irritans","Metazoa","Arthropoda","Hexapoda","Insecta","Pterygota","Neoptera","Endopterygota","Diptera","Brachycera","Muscomorpha","Muscoidea","Muscidae","Muscinae","Haematobia","Haematobia irritans","Complete",1183.38,NA,NA,"FCM",1
"175","Diptera_Hermetia_illucens","Metazoa","Arthropoda","Hexapoda","Insecta","Pterygota","Neoptera","Endopterygota","Diptera","Brachycera","Stratiomyomorpha","no_rank","Stratiomyidae","Hermetiinae","Hermetia","Hermetia illucens","Complete",1154.04,NA,NA,"FCM",1
"176","Diptera_Lucilia_cuprina","Metazoa","Arthropoda","Hexapoda","Insecta","Pterygota","Neoptera","Endopterygota","Diptera","Brachycera","Muscomorpha","Oestroidea","Calliphoridae","Luciliinae","Lucilia","Lucilia cuprina","Complete",616.14,NA,NA,"FCM",1
"177","Diptera_Lucilia_sericata","Metazoa","Arthropoda","Hexapoda","Insecta","Pterygota","Neoptera","Endopterygota","Diptera","Brachycera","Muscomorpha","Oestroidea","Calliphoridae","Luciliinae","Lucilia","Lucilia sericata","Complete",674.82,NA,NA,"FCM",1
"178","Diptera_Mayetiola_destructor","Metazoa","Arthropoda","Hexapoda","Insecta","Pterygota","Neoptera","Endopterygota","Diptera","Nematocera","Bibionomorpha","Sciaroidea","Cecidomyiidae","Cecidomyiinae","Mayetiola","Mayetiola destructor","Complete",136.92,27.6620172800177,0.202030508910442,"FCM",2
"179","Diptera_Megaselia_abdita","Metazoa","Arthropoda","Hexapoda","Insecta","Pterygota","Neoptera","Endopterygota","Diptera","Brachycera","Muscomorpha","Platypezoidea","Phoridae","Metopininae","Megaselia","Megaselia abdita","Complete",557.46,NA,NA,"FCM",1
"180","Diptera_Musca_domestica","Metazoa","Arthropoda","Hexapoda","Insecta","Pterygota","Neoptera","Endopterygota","Diptera","Brachycera","Muscomorpha","Muscoidea","Muscidae","Muscinae","Musca","Musca domestica","Complete",948.66,69.1550432000443,0.0728976063078915,"FCM",2
"181","Diptera_Orygma_luctuosum","Metazoa","Arthropoda","Hexapoda","Insecta","Pterygota","Neoptera","Endopterygota","Diptera","Brachycera","Muscomorpha","Sciomyzoidea","Sepsidae","no_rank","Orygma","Orygma luctuosum","Complete",449.88,NA,NA,"FCM",1
"182","Diptera_Phormia_regina","Metazoa","Arthropoda","Hexapoda","Insecta","Pterygota","Neoptera","Endopterygota","Diptera","Brachycera","Muscomorpha","Oestroidea","Calliphoridae","Chrysomyinae","Phormia","Phormia regina","Complete",528.12,NA,NA,"FCM",1
"183","Diptera_Polypedilum_nubifer","Metazoa","Arthropoda","Hexapoda","Insecta","Pterygota","Neoptera","Endopterygota","Diptera","Nematocera","Culicomorpha","Chironomoidea","Chironomidae","Chironominae","Polypedilum","Polypedilum nubifer","Complete",97.8,NA,NA,"FCM",1
"184","Diptera_Polypedilum_vanderplanki","Metazoa","Arthropoda","Hexapoda","Insecta","Pterygota","Neoptera","Endopterygota","Diptera","Nematocera","Culicomorpha","Chironomoidea","Chironomidae","Chironominae","Polypedilum","Polypedilum vanderplanki","Complete",97.8,NA,NA,"FCM",1
"185","Diptera_Protophormia_terraenovae","Metazoa","Arthropoda","Hexapoda","Insecta","Pterygota","Neoptera","Endopterygota","Diptera","Brachycera","Muscomorpha","Oestroidea","Calliphoridae","Chrysomyinae","Protophormia","Protophormia terraenovae","Complete",762.84,NA,NA,"FCM",1
"186","Diptera_Rhagoletis_pomonella","Metazoa","Arthropoda","Hexapoda","Insecta","Pterygota","Neoptera","Endopterygota","Diptera","Brachycera","Muscomorpha","Tephritoidea","Tephritidae","Trypetinae","Rhagoletis","Rhagoletis pomonella","Complete",948.66,NA,NA,"FCM",1
